epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.539,2.44158,4.53358,1.49101,0.69791,0.6293,0.66336,0.27174,1.96228,1.88311,1.30191,0.00332618,0.00332618,0.00332618
2,335.076,2.04347,2.26729,1.26809,0.81187,0.75015,0.83425,0.37673,1.83746,1.26569,1.23475,0.00659358,0.00659358,0.00659358
3,487.134,2.0158,1.77139,1.25207,0.72605,0.72089,0.72987,0.27441,2.02272,1.41885,1.32073,0.00979499,0.00979499,0.00979499
4,637.88,2.00459,1.48773,1.25502,0.88086,0.81862,0.875,0.37128,1.88509,1.27043,1.25771,0.009703,0.009703,0.009703
5,786.881,1.94253,1.30284,1.22866,0.915,0.82869,0.89834,0.4006,1.85004,1.04085,1.23563,0.009604,0.009604,0.009604
6,937.081,1.91689,1.21212,1.21376,0.88456,0.78583,0.85204,0.38601,1.835,1.15705,1.22617,0.009505,0.009505,0.009505
7,1089.06,1.88908,1.1622,1.19921,0.9354,0.85461,0.92572,0.43076,1.78093,0.95508,1.20251,0.009406,0.009406,0.009406
8,1241.78,1.87829,1.12083,1.19186,0.93366,0.90318,0.93702,0.43128,1.79651,0.9175,1.2056,0.009307,0.009307,0.009307
9,1394.76,1.86077,1.08158,1.18471,0.90792,0.89088,0.92168,0.40734,1.83265,0.93928,1.21296,0.009208,0.009208,0.009208
10,1548.3,1.83615,1.05123,1.16861,0.92818,0.93444,0.95302,0.45502,1.71313,0.87334,1.17053,0.009109,0.009109,0.009109
11,1705.5,1.82393,1.023,1.16838,0.96087,0.93295,0.95951,0.46247,1.72338,0.83193,1.16149,0.00901,0.00901,0.00901
12,1860.35,1.819,1.00223,1.16551,0.94409,0.9143,0.95134,0.44418,1.77488,0.87499,1.18041,0.008911,0.008911,0.008911
13,2013.02,1.79999,0.98447,1.15737,0.95623,0.92705,0.95839,0.47079,1.72422,0.80037,1.16618,0.008812,0.008812,0.008812
14,2166.11,1.78736,0.96359,1.14852,0.94444,0.90564,0.95088,0.45126,1.7801,0.86504,1.18353,0.008713,0.008713,0.008713
15,2319.33,1.78886,0.95411,1.14553,0.9593,0.92803,0.9619,0.47171,1.73642,0.78845,1.16501,0.008614,0.008614,0.008614
16,2473.9,1.78375,0.95492,1.15011,0.9528,0.95145,0.97222,0.47994,1.72068,0.76308,1.15837,0.008515,0.008515,0.008515
17,2627.34,1.76814,0.93059,1.13574,0.96596,0.94057,0.96954,0.44877,1.81585,0.80184,1.19336,0.008416,0.008416,0.008416
18,2780.86,1.75698,0.91075,1.13456,0.96443,0.94179,0.96986,0.48643,1.71132,0.75374,1.15261,0.008317,0.008317,0.008317
19,2933.68,1.74196,0.90669,1.12656,0.96122,0.95002,0.96971,0.48796,1.69006,0.75245,1.14639,0.008218,0.008218,0.008218
20,3086.26,1.74882,0.90032,1.13006,0.96128,0.95241,0.97059,0.47764,1.72279,0.76394,1.15314,0.008119,0.008119,0.008119
21,3238.97,1.74806,0.89507,1.12473,0.96661,0.95112,0.97342,0.49344,1.69978,0.75514,1.14271,0.00802,0.00802,0.00802
22,3392.57,1.73347,0.87651,1.12581,0.96991,0.9605,0.9752,0.50475,1.64743,0.72698,1.13194,0.007921,0.007921,0.007921
23,3545.35,1.7225,0.87098,1.12331,0.967,0.96134,0.97572,0.50222,1.64039,0.71052,1.12252,0.007822,0.007822,0.007822
24,3696.42,1.72395,0.86465,1.11374,0.96487,0.9645,0.97618,0.49699,1.69644,0.73068,1.14172,0.007723,0.007723,0.007723
25,3847.81,1.71139,0.86365,1.11167,0.96753,0.96663,0.97867,0.50992,1.64474,0.69934,1.1267,0.007624,0.007624,0.007624
26,3998.73,1.69852,0.84944,1.11454,0.96117,0.96247,0.97575,0.50644,1.65519,0.71123,1.12969,0.007525,0.007525,0.007525
27,4149.84,1.70041,0.8442,1.10176,0.96455,0.97147,0.97838,0.5198,1.62832,0.68134,1.11817,0.007426,0.007426,0.007426
28,4306.1,1.69822,0.83559,1.10594,0.97466,0.96973,0.98168,0.51316,1.64893,0.69409,1.12163,0.007327,0.007327,0.007327
29,4458.8,1.69394,0.84364,1.10248,0.97331,0.96863,0.98161,0.52248,1.61492,0.69084,1.11584,0.007228,0.007228,0.007228
30,4613.04,1.68807,0.82675,1.10646,0.97129,0.97237,0.98066,0.52321,1.6094,0.67482,1.11214,0.007129,0.007129,0.007129
31,4767.28,1.6754,0.82235,1.10203,0.96644,0.97495,0.97793,0.51525,1.63878,0.67828,1.12297,0.00703,0.00703,0.00703
32,4923.57,1.67649,0.81745,1.10031,0.97365,0.97424,0.9813,0.52383,1.6194,0.68059,1.11386,0.006931,0.006931,0.006931
33,5074.85,1.67899,0.8136,1.10384,0.97139,0.97191,0.983,0.51068,1.66381,0.6836,1.12861,0.006832,0.006832,0.006832
34,5228.87,1.66613,0.80846,1.0972,0.96976,0.97622,0.9788,0.51984,1.61513,0.65524,1.10884,0.006733,0.006733,0.006733
35,5384.53,1.65661,0.80218,1.09305,0.96988,0.9736,0.9794,0.52647,1.60278,0.67024,1.10864,0.006634,0.006634,0.006634
36,5540.24,1.64803,0.79638,1.0913,0.97349,0.975,0.98034,0.52962,1.60662,0.66392,1.10607,0.006535,0.006535,0.006535
37,5700.03,1.66251,0.7969,1.09464,0.97411,0.97183,0.98133,0.52751,1.61148,0.6627,1.10675,0.006436,0.006436,0.006436
38,5859.13,1.64226,0.78831,1.0887,0.97514,0.97272,0.97974,0.51708,1.63743,0.66495,1.11822,0.006337,0.006337,0.006337
39,6016.0,1.63574,0.78888,1.08919,0.97438,0.97375,0.98242,0.52712,1.61256,0.65088,1.10835,0.006238,0.006238,0.006238
40,6172.94,1.62948,0.78294,1.0844,0.97328,0.97917,0.98164,0.5406,1.5673,0.64902,1.09204,0.006139,0.006139,0.006139
41,6328.29,1.6271,0.78036,1.08174,0.97451,0.97956,0.98479,0.54706,1.56563,0.64188,1.09379,0.00604,0.00604,0.00604
42,6483.15,1.62078,0.77152,1.07771,0.97407,0.97961,0.98268,0.53318,1.59825,0.63514,1.10425,0.005941,0.005941,0.005941
43,6636.67,1.61832,0.76761,1.077,0.9762,0.97913,0.98329,0.53939,1.59315,0.63624,1.10026,0.005842,0.005842,0.005842
44,6796.13,1.61735,0.76856,1.07634,0.9743,0.98037,0.98487,0.53755,1.59385,0.64769,1.09932,0.005743,0.005743,0.005743
45,6957.67,1.60927,0.77708,1.07985,0.97472,0.98262,0.9823,0.54673,1.57484,0.63006,1.09426,0.005644,0.005644,0.005644
46,7116.86,1.60383,0.7649,1.07425,0.97612,0.97944,0.98194,0.54843,1.56029,0.63294,1.08691,0.005545,0.005545,0.005545
47,7276.12,1.59886,0.75331,1.06928,0.9753,0.98124,0.98511,0.54902,1.56625,0.62625,1.08807,0.005446,0.005446,0.005446
48,7434.89,1.60966,0.76451,1.07781,0.97446,0.98036,0.9829,0.55308,1.54804,0.62551,1.08066,0.005347,0.005347,0.005347
49,7592.81,1.58789,0.75384,1.07229,0.97494,0.9833,0.98548,0.55456,1.54566,0.62024,1.08145,0.005248,0.005248,0.005248
50,7750.18,1.58429,0.74064,1.06778,0.97622,0.98435,0.98588,0.55573,1.54106,0.61635,1.0821,0.005149,0.005149,0.005149
51,7910.0,1.57839,0.74587,1.0636,0.97265,0.98347,0.98487,0.55336,1.53899,0.61657,1.07886,0.00505,0.00505,0.00505
52,8067.19,1.57716,0.74127,1.06454,0.97654,0.98117,0.98588,0.56289,1.52447,0.61514,1.07331,0.004951,0.004951,0.004951
